transaction_id,action,success,recovered_amount
transaction-155,use_another_payment_method,False,0.0
transaction-156,send_payment_reminder,True,170.48
transaction-157,retry_immediately,True,194.42
transaction-158,retry_after_delay,True,186.75
transaction-159,use_another_payment_method,True,172.77
transaction-160,send_payment_reminder,True,49.94
transaction-161,retry_immediately,True,106.64
transaction-162,retry_after_delay,True,175.64
transaction-163,use_another_payment_method,True,182.44
transaction-164,send_payment_reminder,False,0.0
transaction-165,retry_immediately,True,197.36
transaction-166,retry_after_delay,True,186.77
transaction-167,use_another_payment_method,True,161.32
transaction-168,send_payment_reminder,True,71.34
transaction-169,retry_immediately,False,0.0
transaction-170,retry_after_delay,False,0.0
transaction-171,use_another_payment_method,True,54.18
transaction-172,send_payment_reminder,False,0.0
transaction-173,retry_immediately,True,30.53
transaction-174,retry_after_delay,False,0.0
transaction-175,use_another_payment_method,True,76.45
transaction-176,send_payment_reminder,True,29.03
transaction-177,retry_immediately,False,0.0
transaction-178,retry_after_delay,True,185.49
transaction-179,use_another_payment_method,False,0.0
transaction-180,send_payment_reminder,True,192.94
transaction-181,retry_immediately,False,0.0
transaction-182,retry_after_delay,True,53.45
transaction-183,use_another_payment_method,True,127.11
transaction-184,send_payment_reminder,True,92.68
transaction-185,retry_immediately,False,0.0
transaction-186,retry_after_delay,True,64.32
transaction-187,use_another_payment_method,True,127.01
transaction-188,send_payment_reminder,False,0.0
transaction-189,retry_immediately,False,0.0
transaction-190,retry_after_delay,False,0.0
transaction-191,use_another_payment_method,True,76.95
transaction-192,send_payment_reminder,False,0.0
transaction-193,retry_immediately,True,140.55
transaction-194,retry_after_delay,True,76.55
transaction-195,use_another_payment_method,True,67.81
transaction-196,send_payment_reminder,True,140.9
transaction-197,retry_immediately,True,74.0
transaction-198,retry_after_delay,True,187.22
transaction-199,use_another_payment_method,True,188.43
transaction-200,send_payment_reminder,True,21.68
transaction-201,retry_immediately,False,0.0
transaction-202,retry_after_delay,True,199.3
transaction-203,use_another_payment_method,True,33.19
transaction-204,send_payment_reminder,True,58.37
transaction-205,retry_immediately,False,0.0
transaction-206,retry_after_delay,False,0.0
transaction-207,use_another_payment_method,False,0.0
transaction-208,send_payment_reminder,False,0.0
transaction-209,retry_immediately,False,0.0
transaction-210,retry_after_delay,True,117.78
transaction-211,use_another_payment_method,False,0.0
transaction-212,send_payment_reminder,True,197.7
transaction-213,retry_immediately,True,137.72
transaction-214,retry_after_delay,True,140.22
transaction-215,use_another_payment_method,True,73.89
transaction-216,send_payment_reminder,True,139.41
transaction-217,retry_immediately,False,0.0
transaction-218,retry_after_delay,False,0.0
transaction-219,use_another_payment_method,True,40.78
transaction-220,send_payment_reminder,True,153.64
transaction-221,retry_immediately,False,0.0
transaction-222,retry_after_delay,True,128.87
transaction-223,use_another_payment_method,False,0.0
transaction-224,send_payment_reminder,True,134.16
transaction-225,retry_immediately,False,0.0
transaction-226,retry_after_delay,True,65.2
transaction-227,use_another_payment_method,False,0.0
transaction-228,send_payment_reminder,False,0.0
transaction-229,retry_immediately,True,134.17
transaction-230,retry_after_delay,True,27.94
transaction-231,use_another_payment_method,False,0.0
transaction-232,send_payment_reminder,True,43.55
transaction-233,retry_immediately,True,49.08
transaction-234,retry_after_delay,True,99.53
transaction-235,use_another_payment_method,True,147.02
transaction-236,send_payment_reminder,True,21.74
transaction-237,retry_immediately,False,0.0
transaction-238,retry_after_delay,True,178.96
transaction-239,use_another_payment_method,True,182.71
transaction-240,send_payment_reminder,True,118.21
transaction-241,retry_immediately,True,124.85
transaction-242,retry_after_delay,True,46.66
transaction-243,use_another_payment_method,True,42.94
transaction-244,send_payment_reminder,False,0.0
transaction-245,retry_immediately,True,187.96
transaction-246,retry_after_delay,True,195.0
transaction-247,use_another_payment_method,False,0.0
transaction-248,send_payment_reminder,True,142.77
transaction-249,retry_immediately,False,0.0
transaction-250,retry_after_delay,True,160.42
transaction-251,use_another_payment_method,False,0.0
transaction-252,send_payment_reminder,False,0.0
transaction-253,retry_immediately,True,154.91
transaction-254,retry_after_delay,True,186.64
transaction-255,use_another_payment_method,True,62.61
transaction-256,send_payment_reminder,False,0.0
transaction-257,retry_immediately,False,0.0
transaction-258,retry_after_delay,True,178.65
transaction-259,use_another_payment_method,False,0.0
transaction-260,send_payment_reminder,False,0.0
transaction-261,retry_immediately,False,0.0
transaction-262,retry_after_delay,True,140.58
transaction-263,use_another_payment_method,True,68.03
transaction-264,send_payment_reminder,False,0.0
transaction-265,retry_immediately,False,0.0
transaction-266,retry_after_delay,True,174.55
transaction-267,use_another_payment_method,True,55.92
transaction-268,send_payment_reminder,True,185.32
transaction-269,retry_immediately,True,74.93
transaction-270,retry_after_delay,True,163.16
transaction-271,use_another_payment_method,True,60.97
transaction-272,send_payment_reminder,False,0.0
transaction-273,retry_immediately,True,79.09
transaction-274,retry_after_delay,True,175.58
transaction-275,use_another_payment_method,False,0.0
transaction-276,send_payment_reminder,True,70.24
transaction-277,retry_immediately,False,0.0
transaction-278,retry_after_delay,True,196.61
transaction-279,use_another_payment_method,True,116.52
transaction-280,send_payment_reminder,False,0.0
transaction-281,retry_immediately,True,40.76
transaction-282,retry_after_delay,False,0.0
transaction-283,use_another_payment_method,False,0.0
transaction-284,send_payment_reminder,True,67.78
transaction-285,retry_immediately,False,0.0
transaction-286,retry_after_delay,False,0.0
transaction-287,use_another_payment_method,True,76.46
transaction-288,send_payment_reminder,False,0.0
transaction-289,retry_immediately,False,0.0
transaction-290,retry_after_delay,True,181.91
transaction-291,use_another_payment_method,False,0.0
transaction-292,send_payment_reminder,False,0.0
transaction-293,retry_immediately,False,0.0
transaction-294,retry_after_delay,True,186.6
transaction-295,use_another_payment_method,True,116.92
transaction-296,send_payment_reminder,False,0.0
transaction-297,retry_immediately,True,153.55
transaction-298,retry_after_delay,True,140.71
transaction-299,use_another_payment_method,True,97.63
transaction-300,send_payment_reminder,False,0.0
transaction-301,retry_immediately,True,185.74
