attempt_id,transaction_id,action,outcome,recovered_amount
attempt-71,transaction-52,send_payment_reminder,success,53.44
attempt-72,transaction-53,send_payment_reminder,failure,72.64
attempt-73,transaction-53,retry_after_delay,success,41.64
attempt-74,transaction-54,retry_immediately,success,27.32
attempt-75,transaction-54,retry_immediately,success,10.35
attempt-76,transaction-54,use_another_payment_method,success,67.78
attempt-77,transaction-56,retry_after_delay,failure,85.47
attempt-78,transaction-56,send_payment_reminder,failure,163.19
attempt-79,transaction-56,send_payment_reminder,failure,107.88
attempt-80,transaction-59,retry_after_delay,failure,72.55
attempt-81,transaction-60,retry_after_delay,success,98.94
attempt-82,transaction-61,retry_immediately,failure,20.6
attempt-83,transaction-62,use_another_payment_method,success,10.45
attempt-84,transaction-62,use_another_payment_method,failure,3.21
attempt-85,transaction-62,retry_after_delay,failure,35.55
attempt-86,transaction-63,send_payment_reminder,success,83.92
attempt-87,transaction-64,use_another_payment_method,success,8.36
attempt-88,transaction-65,use_another_payment_method,failure,42.65
attempt-89,transaction-66,use_another_payment_method,failure,117.87
attempt-90,transaction-66,send_payment_reminder,failure,10.06
attempt-91,transaction-66,retry_immediately,failure,91.85
attempt-92,transaction-67,retry_immediately,success,19.5
attempt-93,transaction-67,retry_immediately,failure,49.07
attempt-94,transaction-68,send_payment_reminder,failure,182.77
attempt-95,transaction-69,send_payment_reminder,failure,43.51
attempt-96,transaction-70,use_another_payment_method,failure,12.12
attempt-97,transaction-70,retry_immediately,success,11.99
attempt-98,transaction-70,send_payment_reminder,failure,24.09
attempt-99,transaction-71,retry_immediately,failure,2.51
attempt-100,transaction-71,use_another_payment_method,failure,3.3
attempt-101,transaction-71,send_payment_reminder,success,18.73
attempt-102,transaction-72,send_payment_reminder,success,7.45
attempt-103,transaction-72,use_another_payment_method,failure,24.85
attempt-104,transaction-72,retry_immediately,success,10.61
attempt-105,transaction-73,use_another_payment_method,failure,117.1
attempt-106,transaction-74,retry_immediately,success,123.93
attempt-107,transaction-74,retry_after_delay,success,39.57
attempt-108,transaction-74,retry_immediately,failure,11.87
attempt-109,transaction-76,retry_immediately,success,63.42
attempt-110,transaction-76,use_another_payment_method,failure,52.88
attempt-111,transaction-76,send_payment_reminder,failure,31.02
attempt-112,transaction-77,send_payment_reminder,success,96.1
attempt-113,transaction-78,retry_immediately,failure,150.51
attempt-114,transaction-79,use_another_payment_method,failure,143.55
attempt-115,transaction-79,use_another_payment_method,failure,146.51
attempt-116,transaction-79,send_payment_reminder,success,78.12
attempt-117,transaction-80,use_another_payment_method,failure,12.18
attempt-118,transaction-80,send_payment_reminder,failure,20.59
attempt-119,transaction-80,retry_after_delay,success,12.62
attempt-120,transaction-81,send_payment_reminder,success,45.41
attempt-121,transaction-82,send_payment_reminder,failure,153.36
attempt-122,transaction-82,retry_after_delay,failure,149.7
attempt-123,transaction-82,retry_after_delay,failure,134.94
attempt-124,transaction-83,retry_immediately,failure,2.43
attempt-125,transaction-83,retry_after_delay,failure,137.91
attempt-126,transaction-83,retry_after_delay,success,74.34
attempt-127,transaction-84,use_another_payment_method,failure,52.79
attempt-128,transaction-84,use_another_payment_method,failure,77.5
attempt-129,transaction-85,retry_immediately,success,17.1
attempt-130,transaction-85,use_another_payment_method,success,54.39
attempt-131,transaction-85,send_payment_reminder,success,55.38
attempt-132,transaction-87,retry_after_delay,failure,173.18
attempt-133,transaction-87,retry_immediately,failure,152.61
attempt-134,transaction-87,use_another_payment_method,failure,71.85
attempt-135,transaction-88,retry_after_delay,failure,110.32
attempt-136,transaction-89,retry_after_delay,success,12.41
attempt-137,transaction-90,retry_after_delay,failure,101.67
attempt-138,transaction-90,retry_after_delay,success,51.36
attempt-139,transaction-90,use_another_payment_method,failure,28.44
attempt-140,transaction-92,use_another_payment_method,success,12.67
attempt-141,transaction-92,use_another_payment_method,failure,109.58
attempt-142,transaction-92,send_payment_reminder,failure,78.35
attempt-143,transaction-93,retry_after_delay,failure,95.04
attempt-144,transaction-93,retry_immediately,success,42.48
attempt-145,transaction-94,use_another_payment_method,failure,1.22
attempt-146,transaction-94,send_payment_reminder,failure,0.45
attempt-147,transaction-96,use_another_payment_method,success,71.08
attempt-148,transaction-96,use_another_payment_method,success,74.54
attempt-149,transaction-96,use_another_payment_method,success,73.56
attempt-150,transaction-98,send_payment_reminder,success,107.41
attempt-151,transaction-98,retry_after_delay,success,168.58
attempt-152,transaction-99,send_payment_reminder,success,25.66
attempt-153,transaction-99,use_another_payment_method,failure,106.14
attempt-154,transaction-100,send_payment_reminder,failure,80.59
attempt-155,transaction-100,use_another_payment_method,success,50.56
attempt-156,transaction-102,retry_after_delay,failure,82.55
attempt-157,transaction-103,retry_immediately,failure,0.88
attempt-158,transaction-103,retry_immediately,failure,23.26
attempt-159,transaction-104,send_payment_reminder,failure,6.86
attempt-160,transaction-104,retry_after_delay,failure,1.59
attempt-161,transaction-105,retry_after_delay,success,77.6
attempt-162,transaction-105,send_payment_reminder,failure,79.29
attempt-163,transaction-107,retry_immediately,success,50.79
attempt-164,transaction-108,retry_immediately,success,46.03
attempt-165,transaction-108,retry_after_delay,failure,88.93
attempt-166,transaction-108,send_payment_reminder,success,173.58
attempt-167,transaction-110,send_payment_reminder,failure,1.4
attempt-168,transaction-110,use_another_payment_method,success,18.91
attempt-169,transaction-110,retry_after_delay,failure,4.24
attempt-170,transaction-111,use_another_payment_method,success,75.82
attempt-171,transaction-111,retry_after_delay,success,180.72
attempt-172,transaction-112,retry_immediately,success,31.91
attempt-173,transaction-112,retry_immediately,success,39.12
attempt-174,transaction-112,retry_after_delay,success,39.13
attempt-175,transaction-113,retry_immediately,success,67.42
attempt-176,transaction-114,use_another_payment_method,success,101.88
attempt-177,transaction-116,retry_after_delay,success,84.25
attempt-178,transaction-116,retry_after_delay,success,103.09
attempt-179,transaction-118,retry_immediately,failure,72.54
attempt-180,transaction-119,use_another_payment_method,success,17.23
attempt-181,transaction-121,send_payment_reminder,success,31.15
attempt-182,transaction-122,send_payment_reminder,failure,16.18
attempt-183,transaction-122,retry_immediately,failure,15.88
attempt-184,transaction-122,retry_immediately,failure,14.44
attempt-185,transaction-125,send_payment_reminder,failure,40.92
attempt-186,transaction-125,send_payment_reminder,failure,4.38
attempt-187,transaction-125,retry_immediately,failure,36.28
attempt-188,transaction-127,use_another_payment_method,failure,50.89
attempt-189,transaction-128,send_payment_reminder,failure,6.07
attempt-190,transaction-128,retry_immediately,success,26.32
attempt-191,transaction-129,send_payment_reminder,failure,144.57
attempt-192,transaction-130,send_payment_reminder,success,35.18
attempt-193,transaction-130,use_another_payment_method,failure,42.13
attempt-194,transaction-130,retry_after_delay,failure,7.56
attempt-195,transaction-133,retry_immediately,failure,35.57
attempt-196,transaction-133,retry_immediately,failure,29.36
attempt-197,transaction-133,send_payment_reminder,failure,38.28
attempt-198,transaction-134,retry_immediately,failure,74.28
attempt-199,transaction-134,use_another_payment_method,success,71.5
attempt-200,transaction-134,retry_after_delay,success,81.25
attempt-201,transaction-135,retry_immediately,failure,53.88
attempt-202,transaction-136,retry_immediately,failure,60.36
attempt-203,transaction-136,send_payment_reminder,success,64.03
attempt-204,transaction-137,retry_immediately,success,25.49
attempt-205,transaction-137,use_another_payment_method,failure,32.74
attempt-206,transaction-138,retry_after_delay,failure,2.57
attempt-207,transaction-141,send_payment_reminder,failure,79.61
attempt-208,transaction-142,use_another_payment_method,failure,21.47
attempt-209,transaction-145,retry_after_delay,success,26.74
attempt-210,transaction-146,send_payment_reminder,failure,26.46
attempt-211,transaction-146,send_payment_reminder,failure,14.88
attempt-212,transaction-148,send_payment_reminder,success,27.17
attempt-213,transaction-148,send_payment_reminder,failure,4.36
attempt-214,transaction-149,retry_immediately,success,14.34
attempt-215,transaction-149,retry_after_delay,success,53.6
attempt-216,transaction-149,use_another_payment_method,failure,8.42
attempt-217,transaction-150,send_payment_reminder,success,8.39
attempt-218,transaction-150,retry_after_delay,failure,4.68
attempt-219,transaction-150,retry_immediately,failure,1.22
attempt-220,transaction-152,send_payment_reminder,failure,117.38
attempt-221,transaction-152,send_payment_reminder,failure,19.05
attempt-222,transaction-154,retry_after_delay,failure,31.3
attempt-223,transaction-154,use_another_payment_method,success,16.43
attempt-224,transaction-156,send_payment_reminder,failure,89.33
attempt-225,transaction-157,use_another_payment_method,failure,43.08
attempt-226,transaction-157,retry_after_delay,success,99.25
attempt-227,transaction-157,retry_immediately,success,176.13
attempt-228,transaction-158,use_another_payment_method,success,44.12
attempt-229,transaction-158,retry_after_delay,failure,36.84
attempt-230,transaction-159,retry_immediately,success,164.35
attempt-231,transaction-160,send_payment_reminder,failure,34.02
attempt-232,transaction-160,use_another_payment_method,failure,7.54
attempt-233,transaction-160,retry_immediately,failure,22.08
attempt-234,transaction-161,use_another_payment_method,success,37.53
attempt-235,transaction-161,retry_immediately,failure,49.24
attempt-236,transaction-164,use_another_payment_method,success,31.99
attempt-237,transaction-164,retry_immediately,failure,22.96
attempt-238,transaction-166,retry_after_delay,failure,113.0
attempt-239,transaction-166,retry_after_delay,success,84.14
attempt-240,transaction-166,use_another_payment_method,success,94.23
attempt-241,transaction-167,retry_immediately,success,114.15
attempt-242,transaction-168,retry_after_delay,failure,26.6
attempt-243,transaction-168,use_another_payment_method,failure,29.16
attempt-244,transaction-168,use_another_payment_method,success,56.3
attempt-245,transaction-169,retry_immediately,failure,13.15
attempt-246,transaction-169,send_payment_reminder,failure,35.06
attempt-247,transaction-170,use_another_payment_method,success,62.7
attempt-248,transaction-171,use_another_payment_method,failure,52.43
attempt-249,transaction-172,retry_after_delay,success,18.32
attempt-250,transaction-172,send_payment_reminder,failure,48.13
attempt-251,transaction-172,retry_immediately,failure,30.1
attempt-252,transaction-174,use_another_payment_method,success,29.46
attempt-253,transaction-174,use_another_payment_method,failure,5.95
attempt-254,transaction-175,retry_after_delay,success,22.61
attempt-255,transaction-178,retry_after_delay,failure,28.61
attempt-256,transaction-178,retry_after_delay,success,133.77
attempt-257,transaction-180,use_another_payment_method,success,187.07
attempt-258,transaction-180,use_another_payment_method,failure,45.15
attempt-259,transaction-180,retry_after_delay,failure,186.3
attempt-260,transaction-181,retry_after_delay,failure,23.35
attempt-261,transaction-181,send_payment_reminder,failure,26.48
attempt-262,transaction-181,send_payment_reminder,failure,33.26
attempt-263,transaction-182,retry_after_delay,failure,2.79
attempt-264,transaction-183,use_another_payment_method,success,90.43
attempt-265,transaction-183,retry_immediately,failure,10.66
attempt-266,transaction-183,retry_after_delay,failure,57.11
attempt-267,transaction-184,send_payment_reminder,success,87.71
attempt-268,transaction-185,send_payment_reminder,failure,176.32
attempt-269,transaction-186,retry_immediately,failure,32.29
attempt-270,transaction-186,retry_after_delay,failure,63.97
attempt-271,transaction-186,use_another_payment_method,success,1.81
attempt-272,transaction-188,retry_after_delay,success,5.04
attempt-273,transaction-188,send_payment_reminder,success,99.78
attempt-274,transaction-189,send_payment_reminder,success,86.47
attempt-275,transaction-189,retry_immediately,failure,20.59
attempt-276,transaction-189,retry_after_delay,failure,10.61
attempt-277,transaction-190,retry_after_delay,failure,15.24
attempt-278,transaction-190,retry_after_delay,failure,79.91
attempt-279,transaction-191,retry_immediately,success,64.38
attempt-280,transaction-191,send_payment_reminder,success,48.63
attempt-281,transaction-191,retry_after_delay,success,22.41
attempt-282,transaction-193,retry_after_delay,failure,26.33
attempt-283,transaction-193,retry_immediately,failure,9.51
attempt-284,transaction-195,send_payment_reminder,success,43.1
attempt-285,transaction-195,use_another_payment_method,failure,50.68
attempt-286,transaction-195,use_another_payment_method,success,23.38
attempt-287,transaction-197,retry_after_delay,success,26.07
attempt-288,transaction-197,use_another_payment_method,success,61.45
attempt-289,transaction-198,send_payment_reminder,success,151.93
attempt-290,transaction-198,retry_immediately,failure,6.92
attempt-291,transaction-198,retry_after_delay,success,148.11
attempt-292,transaction-200,use_another_payment_method,failure,21.44
attempt-293,transaction-200,send_payment_reminder,failure,0.79
attempt-294,transaction-201,use_another_payment_method,failure,172.19
attempt-295,transaction-203,use_another_payment_method,success,26.53
attempt-296,transaction-203,send_payment_reminder,failure,24.67
attempt-297,transaction-204,use_another_payment_method,success,28.96
attempt-298,transaction-204,send_payment_reminder,failure,53.95
attempt-299,transaction-204,use_another_payment_method,success,42.44
attempt-300,transaction-206,retry_after_delay,failure,57.36
attempt-301,transaction-206,retry_immediately,failure,118.01
attempt-302,transaction-206,use_another_payment_method,failure,107.6
attempt-303,transaction-207,retry_after_delay,failure,62.67
attempt-304,transaction-207,retry_immediately,failure,109.61
attempt-305,transaction-207,send_payment_reminder,failure,114.0
attempt-306,transaction-210,use_another_payment_method,success,112.22
attempt-307,transaction-210,retry_after_delay,failure,4.1
attempt-308,transaction-210,retry_immediately,success,91.69
attempt-309,transaction-211,use_another_payment_method,failure,123.53
attempt-310,transaction-211,retry_immediately,success,88.35
attempt-311,transaction-212,use_another_payment_method,failure,150.86
attempt-312,transaction-212,retry_after_delay,failure,78.69
attempt-313,transaction-213,retry_after_delay,success,3.57
attempt-314,transaction-213,retry_after_delay,failure,71.3
attempt-315,transaction-215,use_another_payment_method,failure,15.85
attempt-316,transaction-215,use_another_payment_method,failure,14.79
attempt-317,transaction-216,retry_immediately,failure,24.07
attempt-318,transaction-217,retry_immediately,failure,126.23
attempt-319,transaction-217,retry_immediately,failure,168.47
attempt-320,transaction-217,retry_after_delay,success,150.02
attempt-321,transaction-218,retry_immediately,success,34.99
attempt-322,transaction-219,send_payment_reminder,success,14.72
attempt-323,transaction-220,send_payment_reminder,success,94.02
attempt-324,transaction-220,retry_immediately,success,47.52
attempt-325,transaction-221,send_payment_reminder,failure,56.83
attempt-326,transaction-221,retry_immediately,success,67.11
attempt-327,transaction-221,retry_immediately,failure,32.15
attempt-328,transaction-222,retry_after_delay,success,98.94
attempt-329,transaction-222,retry_after_delay,failure,64.8
attempt-330,transaction-225,use_another_payment_method,success,10.94
attempt-331,transaction-226,use_another_payment_method,failure,55.15
attempt-332,transaction-227,retry_after_delay,failure,22.96
attempt-333,transaction-227,use_another_payment_method,success,92.21
attempt-334,transaction-228,retry_after_delay,success,19.2
attempt-335,transaction-229,retry_immediately,success,10.9
attempt-336,transaction-229,use_another_payment_method,success,102.9
attempt-337,transaction-230,retry_immediately,failure,24.84
attempt-338,transaction-230,use_another_payment_method,failure,13.49
attempt-339,transaction-230,send_payment_reminder,failure,12.67
attempt-340,transaction-232,send_payment_reminder,failure,21.09
attempt-341,transaction-233,use_another_payment_method,success,15.34
attempt-342,transaction-234,use_another_payment_method,failure,13.02
attempt-343,transaction-234,use_another_payment_method,success,31.76
attempt-344,transaction-235,retry_immediately,failure,66.1
attempt-345,transaction-235,retry_after_delay,success,7.44
attempt-346,transaction-235,send_payment_reminder,failure,36.5
attempt-347,transaction-236,use_another_payment_method,failure,4.13
attempt-348,transaction-237,send_payment_reminder,failure,16.73
attempt-349,transaction-238,send_payment_reminder,success,16.12
attempt-350,transaction-238,send_payment_reminder,failure,173.0
attempt-351,transaction-239,use_another_payment_method,success,9.23
attempt-352,transaction-240,send_payment_reminder,failure,63.44
attempt-353,transaction-240,retry_immediately,failure,15.83
attempt-354,transaction-240,use_another_payment_method,failure,90.3
attempt-355,transaction-241,retry_immediately,failure,6.39
attempt-356,transaction-241,retry_after_delay,failure,69.07
attempt-357,transaction-243,send_payment_reminder,failure,35.44
attempt-358,transaction-243,retry_immediately,success,41.87
attempt-359,transaction-243,send_payment_reminder,failure,34.13
attempt-360,transaction-244,use_another_payment_method,success,17.05
attempt-361,transaction-244,send_payment_reminder,success,3.88
attempt-362,transaction-245,use_another_payment_method,failure,97.61
attempt-363,transaction-246,retry_after_delay,failure,181.62
attempt-364,transaction-247,retry_after_delay,failure,180.1
attempt-365,transaction-247,use_another_payment_method,failure,92.23
attempt-366,transaction-248,use_another_payment_method,failure,116.46
attempt-367,transaction-248,use_another_payment_method,failure,96.2
attempt-368,transaction-248,send_payment_reminder,failure,113.75
attempt-369,transaction-250,use_another_payment_method,success,115.73
attempt-370,transaction-250,send_payment_reminder,success,84.1
attempt-371,transaction-250,send_payment_reminder,success,131.81
attempt-372,transaction-251,retry_immediately,success,34.18
attempt-373,transaction-252,use_another_payment_method,failure,14.11
attempt-374,transaction-252,retry_after_delay,failure,46.74
attempt-375,transaction-252,send_payment_reminder,success,65.74
attempt-376,transaction-253,use_another_payment_method,failure,81.4
attempt-377,transaction-254,retry_after_delay,failure,170.24
attempt-378,transaction-254,use_another_payment_method,failure,126.14
attempt-379,transaction-255,send_payment_reminder,success,59.94
attempt-380,transaction-255,use_another_payment_method,failure,14.08
attempt-381,transaction-256,use_another_payment_method,success,33.99
attempt-382,transaction-256,send_payment_reminder,failure,23.63
attempt-383,transaction-257,use_another_payment_method,success,94.04
attempt-384,transaction-257,send_payment_reminder,failure,134.2
attempt-385,transaction-258,use_another_payment_method,success,51.39
attempt-386,transaction-260,send_payment_reminder,failure,120.19
attempt-387,transaction-260,retry_after_delay,success,133.16
attempt-388,transaction-261,use_another_payment_method,success,10.28
attempt-389,transaction-261,retry_after_delay,success,4.78
attempt-390,transaction-262,retry_after_delay,success,14.09
attempt-391,transaction-263,send_payment_reminder,success,46.34
attempt-392,transaction-263,retry_after_delay,success,65.62
attempt-393,transaction-264,send_payment_reminder,failure,77.22
attempt-394,transaction-265,use_another_payment_method,failure,25.36
attempt-395,transaction-268,retry_immediately,success,77.44
attempt-396,transaction-269,retry_immediately,failure,59.04
attempt-397,transaction-270,use_another_payment_method,success,1.51
attempt-398,transaction-272,use_another_payment_method,failure,137.3
attempt-399,transaction-272,send_payment_reminder,success,118.14
attempt-400,transaction-273,use_another_payment_method,success,63.97
attempt-401,transaction-273,use_another_payment_method,success,57.82
attempt-402,transaction-273,use_another_payment_method,success,1.11
attempt-403,transaction-274,use_another_payment_method,success,30.81
attempt-404,transaction-274,send_payment_reminder,failure,90.47
attempt-405,transaction-276,retry_immediately,success,68.95
attempt-406,transaction-276,send_payment_reminder,failure,65.73
attempt-407,transaction-276,retry_immediately,failure,26.94
attempt-408,transaction-277,use_another_payment_method,failure,27.76
attempt-409,transaction-277,retry_immediately,failure,60.1
attempt-410,transaction-277,retry_after_delay,success,61.4
attempt-411,transaction-278,use_another_payment_method,success,79.71
attempt-412,transaction-278,use_another_payment_method,success,125.58
attempt-413,transaction-278,use_another_payment_method,failure,120.84
attempt-414,transaction-279,retry_after_delay,failure,17.85
attempt-415,transaction-280,send_payment_reminder,failure,143.18
attempt-416,transaction-280,retry_after_delay,success,128.63
attempt-417,transaction-282,use_another_payment_method,success,47.83
attempt-418,transaction-282,retry_immediately,success,43.21
attempt-419,transaction-282,retry_after_delay,success,8.58
attempt-420,transaction-283,retry_immediately,success,138.55
attempt-421,transaction-283,send_payment_reminder,success,173.72
attempt-422,transaction-283,send_payment_reminder,success,87.63
attempt-423,transaction-284,send_payment_reminder,success,37.88
attempt-424,transaction-284,use_another_payment_method,success,26.84
attempt-425,transaction-284,retry_immediately,success,39.2
attempt-426,transaction-286,use_another_payment_method,success,81.79
attempt-427,transaction-286,retry_immediately,success,149.04
attempt-428,transaction-286,send_payment_reminder,success,43.39
attempt-429,transaction-287,retry_after_delay,failure,28.63
attempt-430,transaction-288,send_payment_reminder,failure,48.5
attempt-431,transaction-288,retry_after_delay,failure,15.32
attempt-432,transaction-288,send_payment_reminder,success,93.98
attempt-433,transaction-289,retry_immediately,success,39.94
attempt-434,transaction-290,send_payment_reminder,failure,149.78
attempt-435,transaction-290,retry_after_delay,failure,62.97
attempt-436,transaction-290,use_another_payment_method,success,170.52
attempt-437,transaction-293,retry_immediately,success,20.3
attempt-438,transaction-293,retry_immediately,success,43.97
attempt-439,transaction-293,retry_immediately,success,72.94
attempt-440,transaction-294,send_payment_reminder,success,100.72
attempt-441,transaction-294,retry_immediately,success,94.03
attempt-442,transaction-294,use_another_payment_method,success,152.23
attempt-443,transaction-295,use_another_payment_method,success,35.28
attempt-444,transaction-295,retry_after_delay,success,48.35
attempt-445,transaction-296,retry_immediately,success,93.59
attempt-446,transaction-296,send_payment_reminder,failure,7.01
attempt-447,transaction-297,send_payment_reminder,failure,106.92
attempt-448,transaction-297,send_payment_reminder,success,46.05
attempt-449,transaction-298,send_payment_reminder,success,119.51
attempt-450,transaction-299,retry_after_delay,failure,89.31
attempt-451,transaction-299,send_payment_reminder,failure,54.41
attempt-452,transaction-300,send_payment_reminder,success,48.65
attempt-453,transaction-301,retry_immediately,failure,157.35
attempt-454,transaction-301,retry_immediately,success,9.57
