amount,payment_method,failure_reason,risk_tier,attempt_number,hours_since_failure,customer_prior_success_rate,action,recovery_success
49813.266,1,1,0,1,55.0,0.42857142857142855,2,1
72470.005,1,0,0,2,56.0,0.5,1,1
7460.795,1,1,0,2,59.0,0.5555555555555556,3,1
31032.614,1,1,0,3,61.0,0.6,0,0
23413.359,1,0,2,1,1.0,0.5,0,1
85281.512,1,1,2,1,11.0,1.0,0,1
33351.583,1,0,2,1,13.0,1.0,2,0
35968.925,1,0,2,1,28.0,0.6666666666666666,2,1
35968.925,1,0,2,2,32.0,0.75,3,0
33351.583,1,0,2,2,36.0,0.6,3,1
35968.925,1,0,2,3,50.0,0.6666666666666666,2,1
75546.286,1,1,2,1,52.0,0.7142857142857143,0,0
85281.512,1,1,2,2,67.0,0.625,3,0
2940.81,1,0,1,1,10.0,0.5,2,0
46693.54,1,0,1,1,25.0,0.0,3,0
2940.81,1,0,1,2,26.0,0.0,3,0
69495.849,1,1,1,1,35.0,0.0,0,1
2940.81,1,0,1,3,37.0,0.25,0,0
69495.849,1,1,1,2,37.0,0.2,0,0
76898.149,1,1,1,1,61.0,0.16666666666666666,3,0
76898.149,1,1,1,2,71.0,0.14285714285714285,3,0
69495.849,1,1,1,3,71.0,0.125,0,0
36698.022,0,1,2,1,26.0,0.5,3,0
36698.022,0,1,2,2,63.0,0.0,1,0
83138.961,0,0,2,1,63.0,0.0,3,0
89189.149,2,1,0,1,3.0,0.5,0,0
68543.274,2,0,0,1,24.0,0.0,1,0
68543.274,2,0,0,2,25.0,0.0,3,1
33099.983,2,1,0,1,30.0,0.3333333333333333,3,0
68543.274,2,0,0,3,57.0,0.25,2,1
33099.983,2,1,0,2,66.0,0.4,0,0
83809.568,1,0,1,1,5.0,0.5,3,1
83809.568,1,0,1,2,51.0,1.0,1,1
95776.583,1,0,1,1,54.0,1.0,3,0
71813.501,3,1,1,1,5.0,0.5,0,0
71813.501,3,1,1,2,42.0,0.0,0,1
19683.518,0,1,0,1,69.0,0.5,3,0
26807.189,1,1,2,1,14.0,0.5,1,0
26807.189,1,1,2,2,54.0,0.0,1,1
55319.067,0,0,2,1,6.0,0.5,0,0
55319.067,0,0,2,2,20.0,0.0,1,0
55319.067,0,0,2,3,65.0,0.0,1,0
72534.614,2,0,0,1,6.0,0.5,2,1
72534.614,2,0,0,2,20.0,1.0,1,1
69861.61,2,1,0,1,41.0,1.0,0,0
38334.648,2,1,0,1,43.0,0.6666666666666666,3,1
69861.61,2,1,0,2,46.0,0.75,2,0
72534.614,2,0,0,3,52.0,0.6,2,1
38334.648,2,1,0,2,62.0,0.6666666666666666,3,1
59359.596,3,1,0,1,13.0,0.5,2,1
15323.017,3,1,0,1,43.0,1.0,2,1
78244.788,2,1,0,1,8.0,0.5,3,0
31678.168,2,0,0,1,11.0,0.0,1,1
78244.788,2,1,0,2,17.0,0.5,1,0
38944.178,2,0,0,1,31.0,0.3333333333333333,3,0
23868.078,2,0,0,1,33.0,0.25,3,0
38944.178,2,0,0,2,41.0,0.2,2,1
16114.605,2,0,0,1,51.0,0.3333333333333333,0,0
16114.605,2,0,0,2,56.0,0.2857142857142857,3,0
38944.178,2,0,0,3,56.0,0.25,1,1
78244.788,2,1,0,3,63.0,0.3333333333333333,3,0
31678.168,2,0,0,2,68.0,0.3,3,1
7938.842,0,0,2,1,7.0,0.5,3,0
7938.842,0,0,2,2,11.0,0.0,2,0
67260.697,0,0,2,1,17.0,0.0,2,0
7938.842,0,0,2,3,59.0,0.0,0,0
56297.4,2,0,2,1,26.0,0.5,0,1
52520.232,2,0,2,1,29.0,1.0,3,0
52520.232,2,0,2,2,30.0,0.5,3,0
77169.129,2,0,2,1,32.0,0.3333333333333333,0,0
29533.951,2,1,2,1,43.0,0.25,3,0
56297.4,2,0,2,2,46.0,0.2,2,0
29533.951,2,1,2,2,56.0,0.16666666666666666,0,1
77169.129,2,0,2,2,63.0,0.2857142857142857,2,0
52520.232,2,0,2,3,70.0,0.25,0,0
80531.585,0,0,1,1,58.0,0.5,1,0
94334.322,1,1,1,1,6.0,0.5,3,0
4133.956,1,0,1,1,7.0,0.0,0,0
49412.358,1,1,1,1,18.0,0.0,3,0
49412.358,1,1,1,2,29.0,0.0,3,0
4133.956,1,0,1,2,30.0,0.0,1,0
94334.322,1,1,1,2,31.0,0.0,1,1
94334.322,1,1,1,3,35.0,0.16666666666666666,0,0
4133.956,1,0,1,3,41.0,0.14285714285714285,2,1
25532.469,1,1,1,1,45.0,0.25,1,1
49412.358,1,1,1,3,69.0,0.3333333333333333,0,0
30590.566,0,0,1,1,20.0,0.5,1,0
30590.566,0,0,1,2,60.0,0.0,3,0
16699.474,0,1,1,1,61.0,0.0,1,1
30590.566,0,0,1,3,67.0,0.3333333333333333,0,0
82138.454,0,0,1,1,69.0,0.25,2,0
99901.924,3,1,2,1,14.0,0.5,2,1
99901.924,3,1,2,2,72.0,1.0,1,0
58587.646,1,0,2,1,22.0,0.5,1,0
58587.646,1,0,2,2,54.0,0.0,3,0
58587.646,1,0,2,3,63.0,0.0,3,0
58861.56,1,0,0,1,17.0,0.5,0,1
62251.678,1,0,0,1,21.0,1.0,1,0
62251.678,1,0,0,2,28.0,0.5,1,0
18930.571,1,0,0,1,29.0,0.3333333333333333,2,1
58541.43,1,0,0,1,33.0,0.5,0,0
58541.43,1,0,0,2,40.0,0.4,3,0
58541.43,1,0,0,3,41.0,0.3333333333333333,0,1
62251.678,1,0,0,3,42.0,0.42857142857142855,1,1
67257.009,1,1,0,1,47.0,0.5,3,1
45805.771,0,1,1,1,43.0,0.5,2,1
12192.987,0,0,1,1,63.0,1.0,2,1
39105.09,0,1,1,1,13.0,0.5,1,1
59063.813,0,1,1,1,22.0,1.0,0,0
39105.09,0,1,1,2,28.0,0.5,2,1
37523.037,0,1,1,1,28.0,0.6666666666666666,2,1
37523.037,0,1,1,2,39.0,0.75,0,0
18360.988,0,0,1,1,42.0,0.6,1,0
39105.09,0,1,1,3,49.0,0.5,3,1
18360.988,0,0,1,2,50.0,0.5714285714285714,1,1
59063.813,0,1,1,2,65.0,0.625,1,1
18360.988,0,0,1,3,67.0,0.6666666666666666,1,0
88495.138,3,1,2,1,31.0,0.5,3,0
25167.718,3,0,2,1,38.0,0.0,3,1
25167.718,3,0,2,2,52.0,0.5,1,0
88495.138,3,1,2,2,69.0,0.3333333333333333,3,1
86592.588,0,1,2,1,8.0,0.5,0,0
21151.371,0,1,2,1,10.0,0.0,1,0
62551.351,0,0,2,1,21.0,0.0,3,0
66031.075,0,0,2,1,25.0,0.0,3,0
13292.719,0,0,2,1,29.0,0.0,1,0
66031.075,0,0,2,2,35.0,0.0,2,0
86592.588,0,1,2,2,46.0,0.0,0,0
21151.371,0,1,2,2,52.0,0.0,1,0
21151.371,0,1,2,3,58.0,0.0,2,1
66031.075,0,0,2,3,69.0,0.1111111111111111,3,0
86592.588,0,1,2,3,71.0,0.1,2,1
80204.136,2,0,0,1,36.0,0.5,2,1
80966.572,2,0,0,1,48.0,1.0,3,0
80204.136,2,0,0,2,52.0,0.5,3,1
71065.725,1,0,2,1,4.0,0.5,1,0
71065.725,1,0,2,2,15.0,0.0,2,1
61792.804,1,1,2,1,36.0,0.5,0,0
16348.411,1,0,2,1,39.0,0.3333333333333333,2,0
22693.35,1,1,2,1,40.0,0.25,3,0
22693.35,1,1,2,2,72.0,0.2,3,1
73454.661,1,1,1,1,9.0,0.5,3,1
24866.375,1,1,1,1,12.0,1.0,2,0
25299.794,1,0,1,1,14.0,0.5,1,1
24866.375,1,1,1,2,17.0,0.6666666666666666,3,0
73454.661,1,1,1,2,24.0,0.5,3,0
25299.794,1,0,1,2,59.0,0.4,1,1
24866.375,1,1,1,3,61.0,0.5,0,0
73454.661,1,1,1,3,68.0,0.42857142857142855,1,0
12027.315,3,0,2,1,5.0,0.5,0,0
12027.315,3,0,2,2,41.0,0.0,3,1
29963.311,0,0,1,1,3.0,0.5,1,1
6046.416,0,0,1,1,4.0,1.0,2,1
56202.171,0,1,1,1,7.0,1.0,3,0
29963.311,0,0,1,2,14.0,0.6666666666666666,3,1
94768.563,0,1,1,1,21.0,0.75,2,0
29963.311,0,0,1,3,28.0,0.6,0,0
54286.041,0,0,1,1,37.0,0.5,2,1
94768.563,0,1,1,2,62.0,0.5714285714285714,1,1
32980.1,1,1,1,1,40.0,0.5,2,1
32980.1,1,1,1,2,60.0,1.0,1,0
32980.1,1,1,1,3,62.0,0.5,3,1
77055.879,2,1,2,1,14.0,0.5,0,0
77055.879,2,1,2,2,46.0,0.0,2,1
77055.879,2,1,2,3,69.0,0.5,1,0
64345.791,0,0,1,1,27.0,0.5,2,1
10963.226,0,0,1,1,33.0,1.0,1,1
97631.915,0,1,1,1,37.0,1.0,1,0
97631.915,0,1,1,2,43.0,0.6666666666666666,2,1
97631.915,0,1,1,3,47.0,0.75,3,1
53856.5,0,0,1,1,69.0,0.8,2,0
10963.226,0,0,1,2,71.0,0.6666666666666666,2,1
71008.739,0,0,0,1,1.0,0.5,3,1
6241.483,0,0,0,1,1.0,1.0,1,0
62107.261,0,0,0,1,10.0,0.5,0,0
71008.739,0,0,0,2,13.0,0.3333333333333333,1,0
6241.483,0,0,0,2,22.0,0.25,0,0
62107.261,0,0,0,2,24.0,0.2,3,1
18856.045,0,0,0,1,32.0,0.3333333333333333,2,0
6241.483,0,0,0,3,35.0,0.2857142857142857,2,1
62107.261,0,0,0,3,44.0,0.375,0,0
13339.463,0,1,0,1,46.0,0.3333333333333333,2,1
18856.045,0,0,0,2,49.0,0.4,0,0
18856.045,0,0,0,3,68.0,0.36363636363636365,2,1
28788.749,2,1,1,1,57.0,0.5,3,0
40218.33,2,0,2,1,8.0,0.5,1,1
12049.586,2,1,2,1,11.0,1.0,0,0
12049.586,2,1,2,2,22.0,0.5,3,1
49149.202,2,0,2,1,23.0,0.6666666666666666,2,1
82929.181,2,0,2,1,30.0,0.75,0,0
55440.832,2,0,2,1,38.0,0.6,2,1
55440.832,2,0,2,2,39.0,0.6666666666666666,0,0
49149.202,2,0,2,2,41.0,0.5714285714285714,3,1
82929.181,2,0,2,2,44.0,0.625,1,1
40218.33,2,0,2,2,60.0,0.6666666666666666,2,1
40218.33,2,0,2,3,64.0,0.7,3,1
82929.181,2,0,2,3,66.0,0.7272727272727273,3,1
12049.586,2,1,2,3,68.0,0.75,1,0
17562.238,2,1,0,1,5.0,0.5,0,0
97639.601,2,1,0,1,10.0,0.0,3,0
17001.179,2,0,0,1,13.0,0.0,0,0
97639.601,2,1,0,2,15.0,0.0,0,0
17562.238,2,1,0,2,38.0,0.0,2,1
17001.179,2,0,0,2,51.0,0.2,0,0
97639.601,2,1,0,3,51.0,0.16666666666666666,1,0
17001.179,2,0,0,3,58.0,0.14285714285714285,2,1
17562.238,2,1,0,3,64.0,0.25,0,0
30293.157,0,0,1,1,7.0,0.5,0,0
6308.726,0,1,1,1,36.0,0.0,0,1
60384.632,0,1,1,1,39.0,0.5,2,0
60384.632,0,1,1,2,40.0,0.3333333333333333,2,1
30293.157,0,0,1,2,42.0,0.5,2,0
30293.157,0,0,1,3,53.0,0.4,2,1
56163.215,0,1,1,1,60.0,0.5,0,0
6308.726,0,1,1,2,66.0,0.42857142857142855,0,1
68106.009,1,1,2,1,6.0,0.5,0,1
67458.11,3,1,1,1,7.0,0.5,3,1
68185.334,3,0,1,1,13.0,1.0,0,0
67458.11,3,1,1,2,33.0,0.5,2,1
48013.91,3,1,1,1,37.0,0.6666666666666666,1,1
48013.91,3,1,1,2,38.0,0.75,2,1
67458.11,3,1,1,3,62.0,0.8,1,0
19694.773,1,0,0,1,59.0,0.5,0,0
19694.773,1,0,0,2,60.0,0.0,2,0
87979.48,3,0,0,1,3.0,0.5,0,1
26034.399,3,1,0,1,12.0,1.0,1,0
16638.638,3,0,0,1,28.0,0.5,1,0
16837.278,3,0,0,1,30.0,0.3333333333333333,2,1
16837.278,3,0,0,2,38.0,0.5,0,0
26034.399,3,1,0,2,47.0,0.4,1,0
21430.434,3,0,0,1,51.0,0.3333333333333333,0,0
16837.278,3,0,0,3,59.0,0.2857142857142857,0,0
77069.745,2,0,2,1,8.0,0.5,3,0
77069.745,2,0,2,2,28.0,0.0,0,0
45042.194,2,0,0,1,6.0,0.5,0,0
87649.775,2,0,0,1,28.0,0.0,2,1
47333.534,2,0,0,1,40.0,0.5,3,1
87649.775,2,0,0,2,49.0,0.6666666666666666,2,1
47333.534,2,0,0,2,51.0,0.75,0,0
82677.928,2,0,0,1,59.0,0.6,0,0
45042.194,2,0,0,2,61.0,0.5,3,1
45042.194,2,0,0,3,62.0,0.5714285714285714,1,1
12705.491,0,0,0,1,2.0,0.5,1,0
64883.363,0,1,0,1,2.0,0.0,1,0
12705.491,0,0,0,2,3.0,0.0,3,1
39702.686,0,0,0,1,21.0,0.3333333333333333,2,1
64883.363,0,1,0,2,42.0,0.5,2,1
64883.363,0,1,0,3,62.0,0.6,3,1
39702.686,0,0,0,2,67.0,0.6666666666666666,0,1
3060.67,3,1,2,1,17.0,0.5,1,0
11865.247,3,0,2,1,18.0,0.0,1,1
11865.247,3,0,2,2,19.0,0.5,0,0
97011.67,3,1,2,1,21.0,0.3333333333333333,2,0
11865.247,3,0,2,3,25.0,0.25,1,0
3060.67,3,1,2,2,42.0,0.2,3,0
3060.67,3,1,2,3,49.0,0.16666666666666666,0,1
55399.848,3,0,2,1,54.0,0.2857142857142857,0,0
23728.663,3,0,2,1,58.0,0.25,0,0
55399.848,3,0,2,2,66.0,0.2222222222222222,0,0
23728.663,3,0,2,2,66.0,0.2,1,1
15970.404,2,1,1,1,2.0,0.5,3,0
22864.409,2,1,1,1,2.0,0.0,0,1
22864.409,2,1,1,2,8.0,0.5,0,0
22864.409,2,1,1,3,10.0,0.3333333333333333,2,1
37345.481,2,0,1,1,39.0,0.5,2,0
69642.686,2,0,1,1,54.0,0.4,3,1
69642.686,2,0,1,2,54.0,0.5,2,0
69642.686,2,0,1,3,67.0,0.42857142857142855,1,1
33578.81,2,0,1,1,71.0,0.5,3,0
59091.863,2,1,1,1,32.0,0.5,3,1
59091.863,2,1,1,2,38.0,1.0,1,1
78645.81,2,1,1,1,46.0,1.0,2,0
80020.679,1,0,1,1,8.0,0.5,3,0
90938.823,1,1,1,1,9.0,0.0,0,0
55310.791,1,1,1,1,17.0,0.0,0,0
90938.823,1,1,1,2,17.0,0.0,3,0
6486.564,1,0,1,1,26.0,0.0,1,0
6486.564,1,0,1,2,34.0,0.0,3,0
55310.791,1,1,1,2,35.0,0.0,3,0
80020.679,1,0,1,2,41.0,0.0,1,0
80020.679,1,0,1,3,62.0,0.0,1,0
55310.791,1,1,1,3,67.0,0.0,1,0
19139.342,2,1,2,1,7.0,0.5,2,1
51620.167,2,1,2,1,14.0,1.0,3,1
50448.615,2,1,2,1,18.0,1.0,3,0
99793.696,2,1,2,1,26.0,0.6666666666666666,2,0
6952.136,2,0,2,1,37.0,0.5,2,0
51620.167,2,1,2,2,38.0,0.4,2,1
51620.167,2,1,2,3,39.0,0.5,1,0
99793.696,2,1,2,2,40.0,0.42857142857142855,1,0
6952.136,2,0,2,2,40.0,0.375,0,0
97255.835,0,0,2,1,8.0,0.5,1,1
27546.263,0,0,2,1,16.0,1.0,3,0
33705.826,3,1,1,1,7.0,0.5,1,0
86214.828,3,1,1,1,23.0,0.0,1,0
86214.828,3,1,1,2,32.0,0.0,1,0
44998.446,3,0,1,1,46.0,0.0,2,0
69782.444,3,0,1,1,54.0,0.0,2,0
33705.826,3,1,1,2,58.0,0.0,3,0
78463.385,3,0,1,1,65.0,0.0,3,0
33705.826,3,1,1,3,68.0,0.0,2,1
4620.068,1,1,2,1,5.0,0.5,1,1
59223.59,1,1,2,1,13.0,1.0,0,0
4620.068,1,1,2,2,15.0,0.5,3,1
17776.169,1,0,2,1,24.0,0.6666666666666666,0,0
17776.169,1,0,2,2,28.0,0.5,2,0
83842.042,1,1,2,1,39.0,0.4,2,1
59223.59,1,1,2,2,40.0,0.5,3,0
84868.754,1,0,2,1,52.0,0.42857142857142855,1,0
84868.754,1,0,2,2,62.0,0.375,1,0
17776.169,1,0,2,3,72.0,0.3333333333333333,3,1
98397.696,2,1,1,1,3.0,0.5,2,1
45040.806,2,0,1,1,4.0,1.0,0,0
98397.696,2,1,1,2,23.0,0.5,3,0
44685.644,2,1,1,1,26.0,0.3333333333333333,3,0
96541.363,2,1,1,1,28.0,0.25,0,0
18807.661,2,0,1,1,38.0,0.2,0,1
18807.661,2,0,1,2,53.0,0.3333333333333333,0,0
18807.661,2,0,1,3,59.0,0.2857142857142857,2,0
81397.205,2,1,1,1,18.0,0.5,2,1
36484.104,2,0,1,1,22.0,1.0,1,1
36484.104,2,0,1,2,39.0,1.0,0,1
77689.117,2,0,1,1,44.0,1.0,2,0
71240.043,2,1,1,1,56.0,0.75,1,0
21990.035,2,1,1,1,69.0,0.6,0,0
93931.82,2,0,0,1,14.0,0.5,1,0
22241.904,2,1,0,1,18.0,0.0,1,1
42559.753,2,0,0,1,21.0,0.5,2,1
42559.753,2,0,0,2,39.0,0.6666666666666666,1,0
42559.753,2,0,0,3,42.0,0.5,3,0
82114.287,2,0,0,1,48.0,0.4,0,1
82114.287,2,0,0,2,51.0,0.5,2,1
22241.904,2,1,0,2,57.0,0.5714285714285714,2,1
82114.287,2,0,0,3,64.0,0.625,2,1
93931.82,2,0,0,2,69.0,0.6666666666666666,0,0
22241.904,2,1,0,3,71.0,0.6,3,1
31102.817,1,0,0,1,8.0,0.5,3,0
83388.054,1,1,0,1,13.0,0.0,1,1
52196.794,1,1,0,1,18.0,0.5,1,1
99811.12,1,0,0,1,19.0,0.6666666666666666,2,0
31102.817,1,0,0,2,28.0,0.5,3,0
99811.12,1,0,0,2,30.0,0.4,1,1
52196.794,1,1,0,2,31.0,0.5,0,0
93361.015,3,0,2,1,18.0,0.5,1,0
94276.613,3,0,2,1,41.0,0.0,2,1
72106.005,3,0,2,1,53.0,0.5,0,0
47969.689,3,0,2,1,56.0,0.3333333333333333,1,0
72106.005,3,0,2,2,59.0,0.25,0,0
93361.015,3,0,2,2,60.0,0.2,2,1
94276.613,3,0,2,2,71.0,0.3333333333333333,3,1
88483.603,3,0,2,1,72.0,0.42857142857142855,2,1
3463.9,3,0,1,1,37.0,0.5,3,0
8366.799,3,0,1,1,51.0,0.0,1,1
8366.799,3,0,1,2,51.0,0.5,1,0
27284.657,3,0,1,1,65.0,0.3333333333333333,3,0
73358.766,0,1,0,1,7.0,0.5,3,1
73358.766,0,1,0,2,49.0,1.0,3,0
2118.471,3,0,0,1,12.0,0.5,1,1
2060.961,0,0,2,1,8.0,0.5,2,0
2060.961,0,0,2,2,15.0,0.0,2,0
15013.374,0,0,2,1,17.0,0.0,2,0
39321.034,0,1,2,1,20.0,0.0,0,0
54270.577,0,0,2,1,22.0,0.0,3,1
15013.374,0,0,2,2,38.0,0.2,3,0
21159.975,0,1,2,1,44.0,0.16666666666666666,1,0
15013.374,0,0,2,3,50.0,0.14285714285714285,1,1
54270.577,0,0,2,2,57.0,0.25,3,1
21159.975,0,1,2,2,64.0,0.3333333333333333,1,0
2060.961,0,0,2,3,70.0,0.3,2,0
82778.568,1,0,2,1,1.0,0.5,1,0
45925.735,1,0,2,1,2.0,0.0,2,0
95839.313,1,1,2,1,4.0,0.0,1,0
82778.568,1,0,2,2,11.0,0.0,1,0
18043.87,1,1,2,1,32.0,0.0,1,1
95839.313,1,1,2,2,68.0,0.2,1,1
91051.523,3,1,2,1,18.0,0.5,0,0
